tconst,film,year_film,genres,averageRating,dir_won_before,budget,nb_actor_won_before,won_bafta,won_gg_drama,won_gg_comedy,winner,runtimeMinutes,predicted_winner,true_winner
tt1655442,theartist,2011,"Comedy,Drama,Romance",7.8,0,15000000.0,0,1,0,1,1,100,1,1
tt1663202,therevenant,2015,"Adventure,Drama,Western",8.0,1,135000000.0,0,1,1,0,0,156,1,0
tt17009710,anatomyofafall,2023,"Crime,Drama,Thriller",7.6,0,6200000.0,0,0,0,0,0,151,0,0
tt1707386,lesmisrables,2012,"Drama,Musical,Romance",7.5,1,61000000.0,1,0,0,1,0,158,0,0
tt1727824,bohemianrhapsody,2018,"Biography,Drama,Music",7.9,0,,0,0,1,0,0,134,0,0
tt1745960,topgunmaverick,2022,"Action,Drama",8.2,0,152000000.0,1,0,0,0,0,130,0,0
tt17526714,thesubstance,2024,"Drama,Horror,Sci-Fi",7.3,0,17500000.0,0,0,0,0,0,141,0,0
tt1790885,zerodarkthirty,2012,"Drama,History,Thriller",7.4,1,,0,0,0,0,0,157,0,0
tt1798709,her,2013,"Drama,Romance,Sci-Fi",8.0,0,23000000.0,0,0,0,0,0,126,0,0
tt1800241,americanhustle,2013,"Crime,Drama",7.2,0,40000000.0,2,0,0,1,0,138,0,0
tt1821549,nebraska,2013,Drama,7.7,0,12000000.0,0,0,0,0,0,115,0,0
tt1825683,blackpanther,2018,"Action,Adventure,Sci-Fi",7.3,0,200000000.0,1,0,0,0,0,134,0,0
tt1853728,djangounchained,2012,Western,8.5,0,100000000.0,2,0,0,0,0,165,0,0
tt1895587,spotlight,2015,"Biography,Crime,Drama",8.1,0,20000000.0,0,0,0,0,1,129,0,1
tt1950186,fordvferrari,2019,"Action,Biography,Drama",8.1,0,97600000.0,1,0,0,0,0,152,0,0
tt20215234,conclave,2024,"Drama,Thriller",7.4,0,20000000.0,0,1,0,0,0,120,0,0
tt20221436,emiliaprez,2024,"Crime,Drama,Musical",5.4,0,25000000.0,0,0,0,0,0,132,0,0
tt2024544,12yearsaslave,2013,"Biography,Drama,History",8.1,0,20000000.0,0,1,1,0,1,134,1,1
tt2084970,theimitationgame,2014,"Biography,Drama,Thriller",8.0,0,14000000.0,0,0,0,0,0,114,0,0
tt2119532,hacksawridge,2016,"Biography,Drama,History",8.1,1,40000000.0,0,0,0,0,0,139,0,0
tt2125435,beastsofthesouthernwild,2012,"Adventure,Drama,Fantasy",7.2,0,,0,0,0,0,0,93,0,0
tt2179136,americansniper,2014,"Action,Biography,Drama",7.3,1,58800000.0,0,0,0,0,0,133,0,0
tt21970768,maestro,2023,Drama,5.8,0,,0,0,0,0,0,129,0,0
tt2278388,thegrandbudapesthotel,2014,"Comedy,Drama",8.1,0,25000000.0,2,0,0,1,0,99,0,0
tt23055660,nickelboys,2024,Drama,7.0,0,23200000.0,0,0,0,0,0,140,0,0
tt23561236,americanfiction,2023,"Comedy,Drama",7.5,0,,0,0,0,0,0,117,0,0
tt2381111,brooklyn,2015,"Drama,Romance",7.5,0,11000000.0,1,0,0,0,0,117,0,0
tt2431286,philomena,2013,"Biography,Comedy,Drama",7.6,0,12000000.0,1,0,0,0,0,98,0,0
tt2543164,arrival,2016,"Drama,Mystery,Sci-Fi",7.9,0,47000000.0,1,0,0,0,0,116,0,0
tt2562232,birdmanortheunexpectedvirtueofignorance,2014,"Comedy,Drama",7.7,0,18000000.0,0,0,0,0,1,119,0,1
tt2582782,hellorhighwater,2016,"Crime,Drama,Thriller",7.6,0,12000000.0,1,0,0,0,0,102,0,0
tt2582802,whiplash,2014,"Drama,Music",8.5,0,3300000.0,0,0,0,0,0,106,0,0
tt2584384,jojorabbit,2019,"Comedy,Drama,War",7.9,0,14000000.0,1,0,0,0,0,108,0,0
tt2671706,fences,2016,Drama,7.2,0,24000000.0,2,0,0,0,0,139,0,0
tt28607951,anora,2024,"Comedy,Drama,Romance",7.5,0,,0,0,0,0,1,139,0,1
tt2980516,thetheoryofeverything,2014,"Biography,Drama,Romance",7.7,0,15000000.0,0,0,0,0,0,123,0,0
tt3170832,room,2015,"Drama,Thriller",8.1,0,6000000.0,0,0,0,0,0,118,0,0
tt3281548,littlewomen,2019,"Drama,Romance",7.8,0,40000000.0,0,0,0,0,0,135,0,0
tt3581652,westsidestory,2021,"Crime,Drama,Musical",7.1,1,100000000.0,1,0,0,1,0,156,0,0
tt3659388,themartian,2015,"Adventure,Drama,Sci-Fi",8.0,0,108000000.0,0,0,0,1,0,144,0,0
tt3682448,bridgeofspies,2015,"Drama,History,Thriller",7.6,1,40000000.0,2,0,0,0,0,142,0,0
tt3704428,elvis,2022,"Biography,Drama,Music",7.3,0,85000000.0,2,0,0,0,0,159,0,0
tt3741834,lion,2016,"Biography,Drama",8.0,0,12000000.0,1,0,0,0,0,118,0,0
tt3783958,lalaland,2016,"Comedy,Drama,Music",8.0,0,30000000.0,1,1,0,1,0,128,1,0
