tconst,film,year_film,averageRating,dir_won_before,budget,nb_actor_won_before,won_bafta,won_gg_drama,won_gg_comedy,winner,runtimeMinutes,Action,Adventure,Animation,Biography,Comedy,Crime,Drama,Family,Fantasy,Film-Noir,History,Horror,Music,Musical,Mystery,Romance,Sci-Fi,Sport,Thriller,War,Western
tt0022958,grandhotel,1931,-0.38771678927782455,0,-1.6142275469024407,0.3085676403758826,0,0,0,1,-0.5166061244708263,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
tt0023042,iamafugitivefromachaingang,1932,1.1461354583759633,0,-1.6142275469024407,-0.6733845901952854,0,0,0,0,-1.2348820194570018,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
tt0023303,onehourwithyou,1931,-0.8990008718290872,0,-1.6142275469024407,-0.6733845901952854,0,0,0,0,-1.7376751459473248,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
tt0023458,shanghaiexpress,1931,-0.38771678927782455,0,-1.6142275469024407,-0.6733845901952854,0,0,0,0,-1.5940199669500896,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
tt0023488,smilinthrough,1932,-1.0694288993461742,0,-1.6142275469024407,1.2905198709470507,0,0,0,0,-1.0193992509611491,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
tt0023876,cavalcade,1932,-2.944137202034139,1,-1.123370897930591,-0.6733845901952854,0,0,0,1,-0.5166061244708263,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
tt0024034,42ndstreet,1932,-0.38771678927782455,0,-1.6142275469024407,0.3085676403758826,0,0,0,0,-1.3426234037049283,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
tt0024240,ladyforaday,1932,-0.217288761760736,0,-1.6142275469024407,-0.6733845901952854,0,0,0,0,-1.0912268404597667,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0024264,littlewomen,1932,-0.5581448167949116,0,-1.6142275469024407,-0.6733845901952854,0,0,0,0,-0.4088647402229,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
tt0024473,theprivatelifeofhenryviii,1932,-0.8990008718290872,0,-2.669192219811859,-0.6733845901952854,0,0,0,0,-1.055313045710458,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
tt0024548,shedonehimwrong,1932,-2.091997064448701,0,-1.6142275469024407,-0.6733845901952854,0,0,0,0,-2.16864068293903,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
tt0024610,statefair,1932,-1.4102849543803497,0,-1.6142275469024407,2.2724721015182188,0,0,0,0,-0.9834854562118405,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
tt0024865,thebarrettsofwimpolestreet,1934,-1.0694288993461742,0,-1.2055880743300613,2.2724721015182188,0,0,0,0,-0.6243475087187527,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
tt0024991,cleopatra,1934,-1.2398569268632629,0,-1.2055880743300613,-0.6733845901952854,0,0,0,0,-0.9475716614625317,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
tt0025124,flirtationwalk,1934,-3.2849932570683147,1,-1.2055880743300613,-0.6733845901952854,0,0,0,0,-1.055313045710458,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
