tconst,film,year_film,genres,averageRating,dir_won_before,budget,nb_actor_won_before,won_bafta,won_gg_drama,won_gg_comedy,winner,runtimeMinutes
tt0024473,theprivatelifeofhenryviii,1932,"Biography,Drama,History",7.0,0,11.447970857280653,0,0,0,0,0,97
tt0024548,shedonehimwrong,1932,"Comedy,Drama,History",6.3,0,13.176847143486714,0,0,0,0,0,66
tt0024610,statefair,1932,"Comedy,Drama,Romance",6.7,0,13.176847143486714,3,0,0,0,0,99
tt0024865,thebarrettsofwimpolestreet,1934,"Biography,Drama,Romance",6.9,0,13.846525580954923,3,0,0,0,0,109
tt0024991,cleopatra,1934,"Biography,Drama,History",6.8,0,13.846525580954923,0,0,0,0,0,100
tt0025124,flirtationwalk,1934,Musical,5.6,1,13.846525580954923,0,0,0,0,0,97
tt0025164,thegaydivorcee,1934,"Comedy,Musical,Romance",7.4,0,13.846525580954923,0,0,0,0,0,107
tt0025238,herecomesthenavy,1934,"Comedy,Drama,Romance",6.2,0,13.846525580954923,0,0,0,0,0,87
tt0025272,thehouseofrothschild,1934,"Biography,Drama,History",6.5,0,13.846525580954923,1,0,0,0,0,88
tt0025301,imitationoflife,1934,"Comedy,Drama,Romance",7.5,0,13.846525580954923,0,0,0,0,0,111
tt0025316,ithappenedonenight,1934,"Comedy,Romance",8.1,1,12.691583538230217,0,0,0,0,1,105
tt0025601,onenightoflove,1934,"Comedy,Music,Romance",5.6,0,13.846525580954923,0,0,0,0,0,84
