year_film,averageRating,dir_won_before,budget,nb_actor_won_before,won_bafta,won_gg_drama,won_gg_comedy,runtimeMinutes,Action,Adventure,Animation,Biography,Comedy,Crime,Drama,Family,Fantasy,Film-Noir,History,Horror,Music,Musical,Mystery,Romance,Sci-Fi,Sport,Thriller,War,Western,true_winner,pred_winner
1946,0.9816142521921877,1,-0.7875938065856896,1.427005048386879,1,1,0,1.5503990880825713,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1
1946,-0.8123467368613928,0,-1.455002900271102,-0.6715317874761784,0,0,0,0.409971790771717,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1946,1.797051065398361,1,-0.1946196176152224,2.476273466318408,0,0,0,0.1680629701300207,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1946,-0.3230846489376891,0,-0.7875938065856896,-0.6715317874761784,0,0,0,0.6864390143622272,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1946,-0.6492593742201587,0,-0.7875938065856896,-0.6715317874761784,0,0,0,0.09894616423239316,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1957,2.4494005159633,0,-1.6766553867674077,-0.6715317874761784,0,0,0,-1.0069227301296473,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1957,0.9816142521921877,1,-0.23324601323298558,0.37773663045535033,1,1,0,1.2393734615432475,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
1957,-0.4861720115789232,0,-0.20090306668967256,-0.6715317874761784,0,0,0,1.1011398497479923,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1957,-0.8123467368613928,0,-0.20090306668967256,0.37773663045535033,0,0,0,0.7555558202598547,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1957,1.4708763401158926,1,-0.502028367542701,0.37773663045535033,0,0,0,-0.315754671153372,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1960,-1.1385214621438624,0,-0.1801857894674626,-0.6715317874761784,0,0,0,1.2739318644920612,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1960,1.3077889774746587,1,-0.23324601323298558,0.37773663045535033,1,0,1,-0.004729044614048138,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
1960,0.32926480162724997,0,-0.1801857894674626,0.37773663045535033,0,0,0,0.720997417311041,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960,-0.6492593742201587,0,-0.1801857894674626,0.37773663045535033,0,0,0,-0.765013909487951,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960,-0.6492593742201587,1,-0.1801857894674626,-0.6715317874761784,0,0,0,0.27173817897646196,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1962,1.3077889774746587,1,0.8336487915461178,3.5255418842499364,0,1,0,3.520228056164956,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
1962,0.32926480162724997,0,0.564866348849896,-0.6715317874761784,0,0,0,1.8268663116730814,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1962,0.32926480162724997,0,0.41694470083153234,0.37773663045535033,0,0,0,0.8937894320551097,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1962,-0.4861720115789232,0,0.9903506960368507,1.427005048386879,0,0,0,1.8268663116730814,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1962,1.3077889774746587,0,0.41694470083153234,-0.6715317874761784,0,0,0,0.13350456718120693,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1965,-0.8123467368613928,0,-0.05932502326026271,-0.6715317874761784,0,0,0,0.09894616423239316,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1965,0.6554395269097195,1,0.8336487915461178,0.37773663045535033,0,1,0,2.483475967700543,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
1965,-0.6492593742201587,0,-0.05932502326026271,3.5255418842499364,0,0,0,0.8246726261574823,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
1965,0.9816142521921877,1,-0.05932502326026271,0.37773663045535033,0,0,1,1.6195158939801988,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
