tconst,film,year_film,runtimeMinutes,genres,winner
tt0049833,thetencommandments,1956,220,"Adventure,Drama,Family",False
tt0050212,thebridgeontheriverkwai,1957,161,"Adventure,Drama,War",True
tt0050839,peytonplace,1957,157,"Crime,Drama,Mystery",False
tt0050933,sayonara,1957,147,"Drama,Romance",False
tt0050083,12angrymen,1957,96,"Crime,Drama",False
tt0051201,witnessfortheprosecution,1957,116,"Crime,Drama,Mystery",False
tt0051383,auntiemame,1958,143,"Comedy,Drama,Romance",False
tt0051459,catonahottinroof,1958,108,Drama,False
tt0051525,thedefiantones,1958,96,"Crime,Drama",False
tt0051658,gigi,1958,115,"Comedy,Musical,Romance",True
tt0052182,separatetables,1958,100,"Drama,Romance",False
tt0052561,anatomyofamurder,1959,161,"Drama,Mystery",False
tt0052618,benhur,1959,212,"Adventure,Drama",True
tt0052738,thediaryofannefrank,1959,180,"Biography,Drama,Family",False
tt0053131,thenunsstory,1959,149,Drama,False
tt0053226,roomatthetop,1959,115,"Drama,Romance",False
tt0053580,thealamo,1960,162,"Adventure,Drama,History",False
tt0053604,theapartment,1960,125,"Comedy,Drama,Romance",True
tt0053793,elmergantry,1960,146,Drama,False
tt0054326,sonsandlovers,1960,103,Drama,False
tt0054353,thesundowners,1960,133,"Drama,Western",False
tt0054866,fanny,1961,134,"Drama,Romance",False
tt0054953,thegunsofnavarone,1961,158,"Action,Adventure,Drama",False
tt0054997,thehustler,1961,134,"Drama,Sport",False
tt0055031,judgmentatnuremberg,1961,179,"Drama,War",False
tt0055614,westsidestory,1961,153,"Crime,Drama,Musical",True
tt0056172,lawrenceofarabia,1962,227,"Adventure,Biography,Drama",True
tt0056197,thelongestday,1962,178,"Action,Drama,History",False
tt0056264,mutinyonthebounty,1962,178,"Adventure,Drama,History",False
tt0056592,tokillamockingbird,1962,129,"Crime,Drama",False
tt0056825,americaamerica,1963,174,"Adventure,Drama",False
tt0056937,cleopatra,1963,320,"Biography,Drama,History",False
tt0056085,howthewestwaswon,1963,164,"Action,Adventure,War",False
tt0057251,liliesofthefield,1963,94,"Comedy,Drama",False
tt0057590,tomjones,1963,129,"Adventure,Comedy,History",True
tt0057877,becket,1964,148,"Biography,Drama,History",False
tt0057012,drstrangeloveorhowilearnedtostopworryingandlovethebomb,1964,95,"Comedy,War",False
tt0058331,marypoppins,1964,139,"Comedy,Family,Fantasy",False
tt0058385,myfairlady,1964,170,"Drama,Family,Musical",True
tt0057831,zorbathegreek,1964,142,"Comedy,Drama",False
tt0059084,darling,1965,128,"Drama,Romance",False
tt0059113,doctorzhivago,1965,197,"Drama,Romance,War",False
tt0059712,shipoffools,1965,149,"Drama,Romance,War",False
tt0059742,thesoundofmusic,1965,172,"Biography,Drama,Family",True
tt0059798,athousandclowns,1965,118,"Comedy,Drama,Romance",False
tt0060086,alfie,1966,114,"Comedy,Drama",False
tt0060665,amanforallseasons,1966,120,"Biography,Drama,History",True
tt0060921,therussiansarecomingtherussiansarecoming,1966,126,"Comedy,War",False
tt0060934,thesandpebbles,1966,182,"Adventure,Drama,Romance",False
tt0061184,whosafraidofvirginiawoolf,1966,131,Drama,False
tt0061418,bonnieandclyde,1967,111,"Action,Biography,Crime",False
tt0061584,doctordolittle,1967,152,"Adventure,Comedy,Family",False
tt0061722,thegraduate,1967,106,"Comedy,Drama,Romance",False
tt0061735,guesswhoscomingtodinner,1967,108,"Comedy,Drama",False
tt0061811,intheheatofthenight,1967,110,"Drama,Mystery,Thriller",True
tt0062994,funnygirl,1968,151,"Biography,Comedy,Drama",False
tt0063227,thelioninwinter,1968,134,"Biography,Drama,History",False
tt0063385,oliver,1968,153,"Drama,Family,Musical",True
tt0063483,rachelrachel,1968,101,"Drama,Romance",False
tt0063518,romeoandjuliet,1968,138,"Drama,Romance",False
tt0064030,anneofthethousanddays,1969,145,"Biography,Drama,History",False
tt0064115,butchcassidyandthesundancekid,1969,110,"Biography,Crime,Drama",False
tt0064418,hellodolly,1969,146,"Adventure,Comedy,Musical",False
tt0064665,midnightcowboy,1969,113,Drama,True
tt0065234,z,1969,127,"Crime,Drama,Thriller",False
tt0065377,airport,1970,137,"Action,Drama,Thriller",False
tt0065724,fiveeasypieces,1970,98,Drama,False
tt0066011,lovestory,1970,100,"Drama,Romance",False
tt0066026,mash,1970,116,"Comedy,Drama,War",False
tt0066206,patton,1970,172,"Biography,Drama,War",True
tt0066921,aclockworkorange,1971,136,"Crime,Sci-Fi",False
tt0067093,fiddlerontheroof,1971,181,"Drama,Family,Musical",False
tt0067116,thefrenchconnection,1971,104,"Action,Crime,Drama",True
tt0067328,thelastpictureshow,1971,118,"Drama,Romance",False
tt0067483,nicholasandalexandra,1971,183,"Biography,Drama,History",False
tt0068327,cabaret,1972,124,"Drama,Music,Musical",False
tt0068473,deliverance,1972,109,"Adventure,Drama,Thriller",False
tt0067919,theemigrants,1972,151,"Drama,History",False
tt0068646,thegodfather,1972,175,"Crime,Drama",True
tt0069303,sounder,1972,105,"Drama,Family",False
tt0069704,americangraffiti,1973,110,"Comedy,Drama",False
tt0070047,theexorcist,1973,122,Horror,False
tt0070735,thesting,1973,129,"Comedy,Crime,Drama",True
tt0070819,atouchofclass,1973,106,"Comedy,Romance",False
tt0071315,chinatown,1974,130,"Drama,Mystery,Thriller",False
tt0071360,theconversation,1974,113,"Drama,Mystery,Thriller",False
tt0071562,thegodfatherpartii,1974,202,"Crime,Drama",True
tt0071746,lenny,1974,111,"Biography,Drama",False
tt0072308,thetoweringinferno,1974,165,"Action,Drama,Thriller",False
tt0072684,barrylyndon,1975,185,"Adventure,Drama,War",False
tt0072890,dogdayafternoon,1975,125,"Biography,Crime,Drama",False
tt0073195,jaws,1975,124,"Adventure,Drama,Horror",False
tt0073440,nashville,1975,160,"Comedy,Drama,Music",False
tt0073486,oneflewoverthecuckoosnest,1975,133,Drama,True
tt0074119,allthepresidentsmen,1976,138,"Drama,History,Thriller",False
tt0074235,boundforglory,1976,147,"Biography,Drama,Music",False
tt0074958,network,1976,121,Drama,False
tt0075148,rocky,1976,120,"Drama,Sport",True
tt0075314,taxidriver,1976,114,"Crime,Drama",False
tt0075686,anniehall,1977,93,"Comedy,Romance",True
tt0076095,thegoodbyegirl,1977,111,"Comedy,Drama,Romance",False
tt0076245,julia,1977,117,Drama,False
tt0076843,theturningpoint,1977,119,"Drama,Music,Romance",False
tt0077362,cominghome,1978,127,"Drama,Romance,War",False
tt0077416,thedeerhunter,1978,183,"Drama,War",True
tt0077663,heavencanwait,1978,101,"Comedy,Fantasy,Romance",False
tt0077928,midnightexpress,1978,121,"Biography,Crime,Drama",False
tt0078444,anunmarriedwoman,1978,124,"Comedy,Drama,Romance",False
tt0078754,allthatjazz,1979,123,"Drama,Music,Musical",False
tt0078788,apocalypsenow,1979,147,"Drama,Mystery,War",False
tt0078902,breakingaway,1979,101,"Comedy,Drama,Sport",False
tt0079417,kramervskramer,1979,105,Drama,True
tt0079638,normarae,1979,114,Drama,False
tt0080549,coalminersdaughter,1980,124,"Biography,Drama,Music",False
tt0080678,theelephantman,1980,124,"Biography,Drama",False
tt0081283,ordinarypeople,1980,124,Drama,True
tt0081398,ragingbull,1980,129,"Biography,Drama,Sport",False
tt0080009,tess,1980,186,"Drama,Romance",False
tt0080388,atlanticcity,1981,104,"Crime,Drama,Romance",False
tt0082158,chariotsoffire,1981,125,"Biography,Drama,Sport",True
tt0082846,ongoldenpond,1981,109,Drama,False
tt0082971,raidersofthelostark,1981,115,"Action,Adventure",False
tt0082979,reds,1981,195,"Biography,Drama,History",False
tt0083866,ettheextraterrestrial,1982,115,"Adventure,Family,Sci-Fi",False
tt0083987,gandhi,1982,191,"Biography,Drama,History",True
tt0084335,missing,1982,122,"Biography,Drama,History",False
tt0084805,tootsie,1982,116,"Comedy,Drama,Romance",False
tt0084855,theverdict,1982,129,Drama,False
tt0085244,thebigchill,1983,105,"Comedy,Drama",False
tt0085461,thedresser,1983,118,Drama,False
tt0086197,therightstuff,1983,193,"Adventure,Biography,Drama",False
tt0086423,tendermercies,1983,92,"Drama,Music",False
tt0086425,termsofendearment,1983,132,"Comedy,Drama",True
tt0086879,amadeus,1984,160,"Biography,Drama,Music",True
tt0087553,thekillingfields,1984,141,"Biography,Drama,History",False
tt0087892,apassagetoindia,1984,164,"Adventure,Drama,History",False
tt0087921,placesintheheart,1984,111,Drama,False
tt0088146,asoldiersstory,1984,101,"Crime,Drama,Mystery",False
tt0088939,thecolorpurple,1985,154,Drama,False
tt0089424,kissofthespiderwoman,1985,120,Drama,False
tt0089755,outofafrica,1985,161,"Biography,Drama,Romance",True
tt0089841,prizzishonor,1985,130,"Comedy,Crime,Drama",False
tt0090329,witness,1985,112,"Drama,Romance,Thriller",False
tt0090830,childrenofalessergod,1986,119,"Drama,Romance",False
tt0091167,hannahandhersisters,1986,107,"Comedy,Drama",False
tt0091530,themission,1986,125,"Adventure,Drama,History",False
tt0091763,platoon,1986,120,"Drama,War",True
tt0091867,aroomwithaview,1986,117,"Drama,Romance",False
tt0092699,broadcastnews,1987,133,"Comedy,Drama,Romance",False
tt0093010,fatalattraction,1987,119,"Drama,Thriller",False
tt0093209,hopeandglory,1987,113,"Comedy,Drama,Romance",False
tt0093389,thelastemperor,1987,163,"Biography,Drama,History",True
tt0093565,moonstruck,1987,102,"Comedy,Drama,Romance",False
tt0094606,theaccidentaltourist,1988,121,"Comedy,Drama,Romance",False
tt0094947,dangerousliaisons,1988,119,"Drama,Romance",False
tt0095647,mississippiburning,1988,128,"Crime,Drama,Mystery",False
tt0095953,rainman,1988,133,Drama,True
tt0096463,workinggirl,1988,113,"Comedy,Drama,Romance",False
tt0096969,bornonthefourthofjuly,1989,145,"Biography,Drama,War",False
tt0097165,deadpoetssociety,1989,128,"Comedy,Drama",False
tt0097239,drivingmissdaisy,1989,99,"Comedy,Drama",True
tt0097351,fieldofdreams,1989,107,"Drama,Family,Fantasy",False
tt0097937,myleftfoot,1989,103,"Biography,Drama",False
tt0099077,awakenings,1990,121,"Biography,Drama",False
tt0099348,danceswithwolves,1990,181,"Adventure,Drama,Western",True
tt0099653,ghost,1990,126,"Drama,Fantasy,Romance",False
tt0099674,thegodfatherpartiii,1990,162,"Crime,Drama",False
tt0099685,goodfellas,1990,145,"Biography,Crime,Drama",False
tt0101414,beautyandthebeast,1991,84,"Animation,Family,Fantasy",False
tt0101516,bugsy,1991,136,"Biography,Crime,Drama",False
tt0102138,jfk,1991,189,"Drama,History,Thriller",False
tt0102713,theprinceoftides,1991,132,"Drama,Romance",False
tt0102926,thesilenceofthelambs,1991,118,"Crime,Drama,Horror",True
tt0104036,thecryinggame,1992,112,"Crime,Drama,Romance",False
tt0104257,afewgoodmen,1992,138,"Drama,Thriller",False
tt0104454,howardsend,1992,142,"Drama,Romance",False
tt0105323,scentofawoman,1992,156,Drama,False
tt0105695,unforgiven,1992,130,"Drama,Western",True
tt0106977,thefugitive,1993,130,"Action,Crime,Drama",False
tt0107207,inthenameofthefather,1993,133,"Biography,Crime,Drama",False
tt0107822,thepiano,1993,121,"Drama,Music,Romance",False
tt0107943,theremainsoftheday,1993,134,"Drama,Romance",False
tt0108052,schindlerslist,1993,195,"Biography,Drama,History",True
tt0109830,forrestgump,1994,142,"Drama,Romance",True
tt0109831,fourweddingsandafuneral,1994,117,"Comedy,Drama,Romance",False
tt0110912,pulpfiction,1994,154,"Crime,Drama",False
tt0110932,quizshow,1994,133,"Biography,Drama,History",False
tt0111161,theshawshankredemption,1994,142,Drama,False
tt0112384,apollo13,1995,140,"Adventure,Drama,History",False
tt0112431,babe,1995,91,"Comedy,Drama,Family",False
tt0112573,braveheart,1995,178,"Biography,Drama,War",True
tt0114388,senseandsensibility,1995,136,"Drama,Romance",False
tt0116209,theenglishpatient,1996,162,"Drama,Romance,War",True
tt0116282,fargo,1996,98,"Crime,Drama,Thriller",False
tt0116695,jerrymaguire,1996,139,"Comedy,Drama,Romance",False
tt0117589,secretslies,1996,136,"Comedy,Drama",False
tt0117631,shine,1996,105,"Biography,Drama,Music",False
tt0119822,asgoodasitgets,1997,139,"Comedy,Drama,Romance",False
tt0119164,thefullmonty,1997,91,"Comedy,Drama",False
tt0119217,goodwillhunting,1997,126,"Drama,Romance",False
tt0119488,laconfidential,1997,138,"Crime,Drama,Mystery",False
tt0120338,titanic,1997,194,"Drama,Romance",True
tt0127536,elizabeth,1998,124,"Biography,Drama,History",False
tt0118799,lifeisbeautiful,1998,116,"Comedy,Drama,Romance",False
tt0120815,savingprivateryan,1998,169,"Drama,War",False
tt0138097,shakespeareinlove,1998,123,"Comedy,Drama,History",True
tt0120863,thethinredline,1998,170,"Drama,History,War",False
tt0169547,americanbeauty,1999,122,Drama,True
tt0124315,theciderhouserules,1999,126,"Drama,Romance",False
tt0120689,thegreenmile,1999,189,"Crime,Drama,Fantasy",False
tt0140352,theinsider,1999,157,"Biography,Drama,History",False
tt0167404,thesixthsense,1999,107,"Drama,Mystery,Thriller",False
tt0241303,chocolat,2000,121,"Drama,Romance",False
tt0190332,crouchingtigerhiddendragon,2000,120,"Action,Adventure,Drama",False
tt0195685,erinbrockovich,2000,131,"Biography,Drama",False
tt0172495,gladiator,2000,155,"Action,Adventure,Drama",True
tt0181865,traffic,2000,147,"Crime,Drama,Thriller",False
tt0268978,abeautifulmind,2001,135,"Biography,Drama,Mystery",True
tt0280707,gosfordpark,2001,137,"Comedy,Drama,Mystery",False
tt0247425,inthebedroom,2001,131,"Crime,Drama",False
tt0120737,thelordoftheringsthefellowshipofthering,2001,178,"Adventure,Drama,Fantasy",False
tt0203009,moulinrouge,2001,127,"Drama,Musical,Romance",False
tt0299658,chicago,2002,113,"Comedy,Crime,Musical",True
tt0217505,gangsofnewyork,2002,167,"Crime,Drama",False
tt0274558,thehours,2002,110,"Drama,Romance",False
tt0167261,thelordoftheringsthetwotowers,2002,179,"Adventure,Drama,Fantasy",False
tt0253474,thepianist,2002,150,"Biography,Drama,Music",False
tt0167260,thelordoftheringsthereturnoftheking,2003,201,"Adventure,Drama,Fantasy",True
tt0335266,lostintranslation,2003,102,"Comedy,Drama",False
tt0311113,masterandcommanderthefarsideoftheworld,2003,138,"Action,Adventure,Drama",False
tt0327056,mysticriver,2003,138,"Crime,Drama,Mystery",False
tt0329575,seabiscuit,2003,140,"Drama,History,Sport",False
tt0338751,theaviator,2004,170,"Biography,Drama",False
tt0308644,findingneverland,2004,106,"Biography,Drama,Family",False
tt0405159,milliondollarbaby,2004,132,"Drama,Sport",True
tt0350258,ray,2004,152,"Biography,Drama,Music",False
tt0375063,sideways,2004,127,"Comedy,Drama,Romance",False
tt0388795,brokebackmountain,2005,134,"Drama,Romance",False
tt0379725,capote,2005,114,"Biography,Crime,Drama",False
tt0375679,crash,2005,112,"Crime,Drama,Thriller",True
tt0433383,goodnightandgoodluck,2005,93,"Biography,Drama,History",False
tt0408306,munich,2005,164,"Drama,History,Thriller",False
tt0449467,babel,2006,143,Drama,False
